id,user_email,name,question,answer,image_question,image_answer,collection,created_at
2,test@gmail.com,,Hur stor är dimensionen av en vektor i R^n?,n,,,Linjär algebra fortsättningskurs,2025-11-26 20:07:24
3,test@gmail.com,,"y=$x^2$
A = $\bar{x}^T \cdot \bar{x}$",hahahha,,,Linjär algebra fortsättningskurs,2025-11-26 20:28:33
4,test@gmail.com,Flerkropparsproblemet diffekvation,"$$
\begin{cases}
    v' = -G \frac{(x-x_0) M}{((x-x_0)^2+(y-y_0)^2)^{\frac{3}{2}}} \\
    u' = -G \frac{(y-y_0) M}{((x-x_0)^2+(y-y_0)^2)^{\frac{3}{2}}} \\
    x' = v\\
    y' = u
    \end{cases}
$$",Korrekt,,,Linjär algebra fortsättningskurs,2025-11-26 20:35:04
